ClubName,ClubNameShort,CountryName,LeagueName,ClubFMId
CSM Satu Mare,,Romania,Romanian Fourth League Satu Mare,57191025
CS Argesul 2009 Mihailesti,Argesul Mihailesti,Romania,Romanian Fourth League Giurgiu,57050228
CS Minerul Rodna,Minerul Rodna,Romania,Romanian Fourth League Bistrita-Nasaud,57050190
AS Galambfalva Porumbenii Mari,Porumbenii Mari,Romania,Romanian Fourth League Harghita,57190792
CS Speranta Raucesti,Raucesti,Romania,Romanian Fourth League Neamt,57072372
AFC Harman,Harman,Romania,Romanian Fourth League Brasov,57014874
AS Bradu Borca,Bradu Borca,Romania,Romanian Fourth League Neamt,57121774
ACS Team Sageata,Team Sageata,Romania,Romanian Fourth League Buzau,57155990
AS Gloria 2015 Cornesti,Gloria 2015 Cornesti,Romania,Romanian Fourth League Dambovita,57142951
CS Real Bradu,Real Bradu,Romania,Romanian Fourth League Arges,57172837
ACS Avantul Barsana,Avantul Barsana,Romania,Romanian Fourth League Maramures,57072332
Moldova Cristesti,,Romania,Romanian Fourth League Iasi,57171163
CS Dunarea Calafat,Dunarea Calafat,Romania,Romanian Fourth League Dolj,57002787
AFC Vointa Lupac,Lupac,Romania,Romanian Fourth League Caras-Severin,57048156
CS Gheorgheni - VSK Gheorgheni,Gheorgheni,Romania,Romanian Fourth League Harghita,57175106
CS Ocna Mures,Ocna Mures,Romania,Romanian Fourth League Alba,57036170
ACSM Oltenita,CSM Oltenita,Romania,Romanian Fourth League Calarasi,57086449
CSO Retezatul Hateg,Retezatul,Romania,Romanian Fourth League Hunedoara,57048072
ASC Olimpic Zarnesti,ASC Zarnesti,Romania,Romanian Fourth League Brasov,57071671
AS Viitorul Curita,Viitorul Curita,Romania,Romanian Fourth League Bacau,57142874
CSM Lugoj,,Romania,Romanian Fourth League Timis,57141893
CS Magurele,,Romania,Romanian Fourth League Ilfov,57175323
ACSO Viitorul Pantelimon,Viitorul Pantelimon,Romania,Romanian Fourth League Ilfov,57175353
ACS FC Papauti,FC Papauti,Romania,Romanian Fourth League Covasna,57061162
ACS Stiinta Turceni,Turceni,Romania,Romanian Fourth League Gorj,57061175
ACS Viitorul Dragomiresti Vale,Viitorul Dragomiresti,Romania,Romanian Fourth League Ilfov,57061179
AS Recolta Gura Sutii,Recolta Gura Sutii,Romania,Romanian Fourth League Dambovita,57071933
Unirea Mircesti,,Romania,Romanian Fourth League Iasi,57072165
CSA Steaua Bucuresti,CSA Steaua,Romania,Romanian Fourth League Bucuresti,57141891
AS Flacara Erbiceni,Erbiceni,Romania,Romanian Fourth League Iasi,57152150
CS Progresul Nasaud,Progresul Nasaud,Romania,Romanian Fourth League Bistrita-Nasaud,57048710
AS Minerul Costesti,Minerul Costesti,Romania,Romanian Fourth League Valcea,57143081
ACS Viitorul Simian,Viitorul Simian,Romania,Romanian Fourth League Mehedinti,57143035
CSM Victoria Carei,,Romania,Romanian Fourth League Satu Mare,57034210
Viitorul Fintinele,,Romania,Romanian Fourth League Constanta,57142937
FC Pojorata,,Romania,Romanian Fourth League Suceava,57175649
CS Dumbrava Galgau-Almasului,Dumbrava Galgau,Romania,Romanian Fourth League Salaj,57048699
CS Progresul Somcuta Mare,Somcuta Mare,Romania,Romanian Fourth League Maramures,57065525
CS Rapid Buzescu,Rapid Buzescu,Romania,Romanian Fourth League Teleorman,57065610
CS Ciorogarla,,Romania,Romanian Fourth League Ilfov,57086505
ACS FC Somesul Dej,Somesul Dej,Romania,Romanian Fourth League Cluj,57188405
CS Petrolul Bustuchin,Petrolul Bustuchin,Romania,Romanian Fourth League Gorj,57190323
Vitis Suletea,,Romania,Romanian Fourth League Vaslui,57072487
CS Navodari,,Romania,Romanian Fourth League Constanta,7540031
ACS Metropolitan Isalnita,Metropolitan Isalnita,Romania,Romanian Fourth League Dolj,57139479
FC Panciu,Panciu,Romania,Romanian Fourth League Vrancea,57030511
Gloria Albesti,,Romania,Romanian Fourth League Constanta,57061159
Sportul Ciorasti,,Romania,Romanian Fourth League Vrancea,57175747
CS Vointa Lanurile,Lanurile,Romania,Romanian Fourth League Buzau,57057207
CS Victoria Traian,Victoria Traian,Romania,Romanian Fourth League Braila,57057203
CS Inter Petrila,Inter Petrila,Romania,Romanian Fourth League Hunedoara,57065391
AS Vointa Stremt,Stremt,Romania,Romanian Fourth League Alba,57171574
ACS Flacara Mihail Kogalniceanu,,Romania,Romanian Fourth League Tulcea,57061227
CS Silvicultorul Maieru,Silvicultorul Maieru,Romania,Romanian Fourth League Bistrita-Nasaud,57061100
Zimbrul Slobozia Conachi,,Romania,Romanian Fourth League Galati,57142965
AS Unirea Lueta,Unirea Lueta,Romania,Romanian Fourth League Harghita,57190791
ACS Carani,,Romania,Romanian Fourth League Timis,57127425
CS Carcea,,Romania,Romanian Fourth League Dolj,57190461
CS Magura Cisnadie,,Romania,Romanian Fourth League Sibiu,57118378
CS Vulturii Farcasesti,Vulturii Farcasesti,Romania,Romanian Fourth League Gorj,57175068
ACS Inter Dorohoi,Inter Dorohoi,Romania,Romanian Fourth League Botosani,57135405
AS Recolta Danceu,Recolta Danceu,Romania,Romanian Fourth League Mehedinti,57065482
AFC Singureni,,Romania,Romanian Fourth League Giurgiu,57065377
Rapid Jibou,,Romania,Romanian Fourth League Salaj,57048730
AS Unirea Cristuru Secuiesc,Unirea Cristuru Secuiesc,Romania,Romanian Fourth League Harghita,57050175
AS FC Baraganul Ciulnita,Ciulnita,Romania,Romanian Fourth League Ialomita,57072060
Victoria Munteni Buzau,,Romania,Romanian Fourth League Ialomita,57072039
CSM Mihai Viteazu Vulcan,Mihai Viteazu Vulcan,Romania,Romanian Fourth League Hunedoara,57174048
CS CIL Blaj,CIL Blaj,Romania,Romanian Fourth League Alba,57048079
CSA Aurul Brad,Aurul Brad,Romania,Romanian Fourth League Hunedoara,57032378
FC Dinamo Bacau,Dinamo Bacau,Romania,Romanian Fourth League Bacau,57174332
FC Racova Puscasi,,Romania,Romanian Fourth League Vaslui,57174328
ACS Atletico Monor,Atletico Monor,Romania,Romanian Fourth League Bistrita-Nasaud,57107712
FC Bolintin Malu Spart 2017,Bolintin Malu Spart,Romania,Romanian Fourth League Giurgiu,57065347
ACS Stiinta Danubius Bechet,Bechet,Romania,Romanian Fourth League Dolj,57071950
Flacara Muntenii de Sus,,Romania,Romanian Fourth League Vaslui,57120345
AS FC Precizia Sacele,Sacele,Romania,Romanian Fourth League Brasov,57118682
Unirea Tifesti,,Romania,Romanian Fourth League Vrancea,57061230
CSM Moinesti,,Romania,Romanian Fourth League Bacau,7540049
CS Zlatna,,Romania,Romanian Fourth League Alba,7540063
AS Soimii Topolog,Soimii Topolog,Romania,Romanian Fourth League Tulcea,57159519
CS Unirea Tiganesti,Unirea Tiganesti,Romania,Romanian Fourth League Teleorman,57072567
FC Petrolul Ticleni,Petrolul Ticleni,Romania,Romanian Fourth League Gorj,57159173
CS Progresul Bucuresti 2005,Progresul 2005,Romania,Romanian Fourth League Bucuresti,57155845
Unirea Ruginoasa,Ruginoasa,Romania,Romanian Fourth League Iasi,57072155
ACS Muresul Ludus,Muresul Ludus,Romania,Romanian Fourth League Mures,57050183
AFC Banesti-Urleta,Banesti Urleta,Romania,Romanian Fourth League Prahova,57061205
ACS Unirea Sintana,Unirea Sintana,Romania,Romanian Fourth League Arad,57048390
CS Lipnita Carvan,Lipnita Carvan,Romania,Romanian Fourth League Constanta,57065049
CS UZU Darmanesti,UZU Darmanesti,Romania,Romanian Fourth League Bacau,57069387
AS Unirea Iclod,Unirea Iclod,Romania,Romanian Fourth League Cluj,57172976
CS Energia Remus,Energia Remus,Romania,Romanian Fourth League Giurgiu,57175287
ACS Paltinis Rasinari,Rasinari,Romania,Romanian Fourth League Sibiu,57118379
AS Colibasi,,Romania,Romanian Fourth League Arges,57172818
CS Gloria Ivesti,Gloria Ivesti,Romania,Romanian Fourth League Galati,57057235
ACS Victoria Buzoesti,Victoria Buzoesti,Romania,Romanian Fourth League Arges,57107697
CS FC Dinamo Bucuresti,CS Dinamo,Romania,Romanian Fourth League Bucuresti,57141885
ACS Ajax Botoroaga,Ajax Botoroaga,Romania,Romanian Fourth League Teleorman,57088291
CS Gloria al Orasului Geoagiu,Gloria Geoagiu,Romania,Romanian Fourth League Hunedoara,57065452
CS Cornu,,Romania,Romanian Fourth League Prahova,57120208
Gloria Baneasa,,Romania,Romanian Fourth League Constanta,57061157
ACS Peris,,Romania,Romanian Fourth League Ilfov,57072127
CS Agigea,,Romania,Romanian Fourth League Constanta,57069157
CS Petrolistul Boldesti,Petrolistul,Romania,Romanian Fourth League Prahova,57030950
ACS Oltul Curtisoara,,Romania,Romanian Fourth League Olt,57114221
Petrolul Potcoava,,Romania,Romanian Fourth League Olt,57061202
CS Cozia Calimanesti,Cozia Calimanesti,Romania,Romanian Fourth League Valcea,57061233
Fortuna Capleni,,Romania,Romanian Fourth League Satu Mare,57068937
Victoria Gugesti,Gugesti,Romania,Romanian Fourth League Vrancea,57072432
Schamagosch Ciumesti,,Romania,Romanian Fourth League Satu Mare,57121943
ACS Bucharest United,Bucharest United,Romania,Romanian Fourth League Bucuresti,57188320
CS Unirea Ungheni 2018,Unirea Ungheni,Romania,Romanian Fourth League Mures,57034797
ACS Juniorul Suceava,Juniorul Suceava,Romania,Romanian Fourth League Suceava,57175644
CS Jiul Rovinari 2016,Jiul Rovinari 2016,Romania,Romanian Fourth League Gorj,57159175
CSO Plopeni,,Romania,Romanian Fourth League Prahova,57048269
ACS CAO 1910 Oradea,CAO Oradea,Romania,Romanian Fourth League Bihor,57189800
ACS Viitorul Nicolae Balcescu,Nicolae Balcescu,Romania,Romanian Fourth League Bacau,57069377
AS Vointa Livezile,Vointa Livezile,Romania,Romanian Fourth League Bistrita-Nasaud,57048709
CSO Baraolt,,Romania,Romanian Fourth League Covasna,57071819
CS Sporting Pitesti,Sporting Pitesti,Romania,Romanian Fourth League Arges,57007494
CS Olimpia Aiud,Olimpia Aiud,Romania,Romanian Fourth League Alba,57061067
ACS Viitorul Santimbru,Santimbru,Romania,Romanian Fourth League Alba,57059828
ACS Granitul Babadag,Babadag,Romania,Romanian Fourth League Tulcea,57061226
CS Pandurii Cerneti,Cerneti,Romania,Romanian Fourth League Mehedinti,57061189
ACS Unirea Tricolor Dabuleni,Dabuleni,Romania,Romanian Fourth League Dolj,57061171
CS Oravita,Oravita,Romania,Romanian Fourth League Caras-Severin,57050284
AS Unirea Tomsani,Unirea Tomsani,Romania,Romanian Fourth League Valcea,57122011
AS Stejarul Vladesti 2009,Stejarul Vladesti,Romania,Romanian Fourth League Valcea,57121997
AS Progresul Fratautii Vechi,Fratautii Vechi,Romania,Romanian Fourth League Suceava,57121873
ACS Heniu Lesu,Heniu Lesu,Romania,Romanian Fourth League Bistrita-Nasaud,57114211
CS Cumpana,,Romania,Romanian Fourth League Constanta,57190299
ACS TransDor Tudora,TransDor,Romania,Romanian Fourth League Botosani,57116012
ASC Ciucas Tarlungeni,Ciucas Tarlungeni,Romania,Romanian Fourth League Brasov,57164166
ACS Poiana Lacului,Poiana Lacului,Romania,Romanian Fourth League Arges,57154110
ACS CSM Campia Turzii,CSM Campia Turzii,Romania,Romanian Fourth League Cluj,57172981
Stiinta Beltiug,,Romania,Romanian Fourth League Satu Mare,57143063
AFC Dunarea Ciocanesti,Dunarea Ciocanesti,Romania,Romanian Fourth League Calarasi,57076741
AS National Somova,Somova,Romania,Romanian Fourth League Tulcea,57072535
ACS Jiul Podari,Jiul Podari,Romania,Romanian Fourth League Dolj,57171065
AS Roberto Ziduri,Ziduri,Romania,Romanian Fourth League Dambovita,57172904
ACS Sporting Apahida,Sporting Apahida,Romania,Romanian Fourth League Cluj,57172968
AFC Unirea Manastirea,,Romania,Romanian Fourth League Calarasi,57076745
AS Avantul Zarnesti,Avantul Zarnesti,Romania,Romanian Fourth League Buzau,57076876
CS Frontiera Curtici 2004,Frontiera Curtici,Romania,Romanian Fourth League Arad,57044164
ACS Soimul Baita,Soimul Baita,Romania,Romanian Fourth League Hunedoara,57081224
FC Voluntari III,,Romania,Romanian Fourth League Ilfov,57142132
ACSSC Chimia 1973 Rm. Valcea,Chimia Rm. Valcea,Romania,Romanian Fourth League Valcea,57133747
CS Roseal Odorheiu Secuiesc,Roseal,Romania,Romanian Fourth League Harghita,57048370
ACSM Codlea,,Romania,Romanian Fourth League Brasov,57116097
CS International Balesti,International Balesti,Romania,Romanian Fourth League Gorj,57065427
ACS Unirea Miercurea-Sibiului,,Romania,Romanian Fourth League Sibiu,57105124
AS Gigantii Varasti,Gigantii Varasti,Romania,Romanian Fourth League Giurgiu,57159170
Sportul Simleu Silvaniei,Simleu Silvaniei,Romania,Romanian Fourth League Salaj,57110371
Crasna Moftinu Mic,Moftinu Mic,Romania,Romanian Fourth League Satu Mare,57121941
AS Vointa Oituz,Oituz,Romania,Romanian Fourth League Bacau,57061081
Turul Micula,,Romania,Romanian Fourth League Satu Mare,57015198
ACS Hebe Singeorz Bai,Hebe Singeorz Bai,Romania,Romanian Fourth League Bistrita-Nasaud,57072093
Unirea Radomiresti,,Romania,Romanian Fourth League Olt,57191013
CS DLR Pitesti,DLR Pitesti,Romania,Romanian Fourth League Arges,57061071
Tractorul Nanesti,Nanesti,Romania,Romanian Fourth League Vrancea,57143108
ACS Coltea 1920 Brasov,Coltea 1920 Brasov,Romania,Romanian Fourth League Brasov,57161675
ACS Somuzul Preutesti,Somuzul Preutesti,Romania,Romanian Fourth League Suceava,57121871
CS Somesul Rebrisoara,Rebrisoara,Romania,Romanian Fourth League Bistrita-Nasaud,57061099
Vointa 2012 Babiciu,Vointa Babiciu,Romania,Romanian Fourth League Olt,57110367
FC Brezoaele,Brezoaele,Romania,Romanian Fourth League Dambovita,57110268
Speranta Halmeu,,Romania,Romanian Fourth League Satu Mare,57191022
ACS Unirea Curtesti,Unirea Curtesti,Romania,Romanian Fourth League Botosani,57174335
AS FC Urziceni,FC Urziceni,Romania,Romanian Fourth League Ialomita,57174505
CS Victoria Tandarei,Tandarei,Romania,Romanian Fourth League Ialomita,57059848
ACS Ariesul Mihai Viteazu,Ariesul Mihai Viteazu,Romania,Romanian Fourth League Cluj,57057223
CS Victoria Zabrani,Victoria Zabrani,Romania,Romanian Fourth League Arad,57069363
Luceafarul Decebal,,Romania,Romanian Fourth League Satu Mare,57068907
Viitorul Axintele,Axintele,Romania,Romanian Fourth League Ialomita,57065467
CSO Siretul Dolhasca,Siretul Dolhasca,Romania,Romanian Fourth League Suceava,57175636
Sparta Techirghiol,Techirghiol,Romania,Romanian Fourth League Constanta,57071769
ACS Pobeda Star Bisnov,Pobeda Star Bisnov,Romania,Romanian Fourth League Timis,57050304
CS Avantul Periam,Avantul Periam,Romania,Romanian Fourth League Timis,57142144
ACS Comunal Recolta Dorolt,Dorolt,Romania,Romanian Fourth League Satu Mare,57061212
Victoria Horia,,Romania,Romanian Fourth League Neamt,57061201
CF Abatorul Slobozia,Abatorul,Romania,Romanian Fourth League Ialomita,57015192
CS Inter Cristian,Inter Cristian,Romania,Romanian Fourth League Brasov,57048648
Atletic Club Barlad,,Romania,Romanian Fourth League Vaslui,57159527
CS Mioveni II,,Romania,Romanian Fourth League Arges,57100554
AS Prima Bradut,Prima Bradut,Romania,Romanian Fourth League Covasna,57061166
AS Farkaslaka Lupeni,Farkaslaka Lupeni,Romania,Romanian Fourth League Harghita,57190790
CS Barcau Nusfalau,CS Barcau,Romania,Romanian Fourth League Salaj,57048728
AFC Brebu,,Romania,Romanian Fourth League Prahova,57075288
ACS Eciro Forest Telciu,Eciro Forest,Romania,Romanian Fourth League Bistrita-Nasaud,57065145
CS Unirea Tomnatic,Unirea Tomnatic,Romania,Romanian Fourth League Timis,57049997
ACS Steagu Rosu Brasov,Steagu Rosu,Romania,Romanian Fourth League Brasov,57031433
CSO Teleajenul Valenii de Munte,CSO Teleajenul,Romania,Romanian Fourth League Prahova,57120210
CSO Tricolorul Breaza,CSO Tricolorul,Romania,Romanian Fourth League Prahova,57120205
AFC Victoria Adunatii Copaceni,Adunatii Copaceni,Romania,Romanian Fourth League Giurgiu,57159171
Oltetul Osica,,Romania,Romanian Fourth League Olt,57159182
AFC Comprest GIM,Comprest GIM,Romania,Romanian Fourth League Bucuresti,57048619
CS Avantul Floresti,Avantul Floresti,Romania,Romanian Fourth League Giurgiu,57059843
CS Atletic Olimpia Gherla,Atletic Olimpia Gherla,Romania,Romanian Fourth League Cluj,57061150
CS Venus Independenta,,Romania,Romanian Fourth League Calarasi,57057211
AS Montana Patarlagele,Patarlagele,Romania,Romanian Fourth League Buzau,57065259
CSC Dudestii Noi,Dudestii Noi,Romania,Romanian Fourth League Timis,57191002
AS Vointa Garleni,Vointa Garleni,Romania,Romanian Fourth League Bacau,57061080
AS Argesul Hotarele,Hotarele,Romania,Romanian Fourth League Giurgiu,57117759
Unirea Branistea,,Romania,Romanian Fourth League Galati,57057233
ACS Rapid Buchin,Buchin,Romania,Romanian Fourth League Caras-Severin,57129923
AS Vulturul Magiresti,Vulturul Magiresti,Romania,Romanian Fourth League Bacau,57129875
